"year","locality","n_offers","average_price_nominal_euros","average_price_m2_nominal_euros"
"2010","Bascharage",192,593698.31,3603.57
"2010","Beaufort",266,461160.29,2902.76
"2010","Bech",65,621760.22,3280.51
"2010","Beckerich",176,444498.68,2867.88
"2010","Berdorf",111,504040.85,3055.99
"2010","Bertrange",264,795338.87,4266.46
"2010","Bettembourg",304,555628.29,3343.22
"2010","Bettendorf",94,495074.38,3235.26
"2010","Betzdorf",119,625914.47,3343.05
"2010","Bissen",70,516465.57,3321.65
"2010","Biwer",122,576659.02,3033.23
"2010","Boevange-sur-Attert",113,541159.17,3031.3
"2010","Boulaide",125,473043.65,2943.82
"2010","Bourscheid",72,528971.81,2816
"2010","Bous",57,523272.09,3164.58
"2010","Burmerange",126,538516.06,3254.97
"2010","Clémency",88,584038.64,3321.14
"2010","Clervaux",87,479297.9,2736.26
"2010","Colmar-Berg",64,514425.31,3269.3
"2010","Consdorf",55,535906.15,3419.92
"2010","Consthum",29,NA,NA
"2010","Contern",147,744879.05,4053.23
"2010","Dalheim",181,585315.07,3269.23
"2010","Diekirch",136,486927.35,2899.34
"2010","Differdange",672,441969.35,2816.26
"2010","Dippach",224,695294.47,3796
"2010","Dudelange",556,540933.45,3095.67
"2010","Echternach",140,585544.72,3531.5
"2010","Ell",63,509571.7,3090.8
"2010","Ermsdorf",56,501004.3,3261.34
"2010","Erpeldange",56,705361.07,3455.27
"2010","Esch-sur-Alzette",750,493472.43,2953.48
"2010","Esch-sur-Sûre",7,NA,NA
"2010","Eschweiler",89,463350.45,2621.53
"2010","Ettelbruck",177,493092.49,3002.54
"2010","Feulen",200,544236.96,3087.17
"2010","Fischbach",103,524858.36,3377.71
"2010","Flaxweiler",106,613794.84,3173.61
"2010","Frisange",165,720322.8,3555.59
"2010","Garnich",130,654931.82,3690.83
"2010","Goesdorf",137,436833.45,2618.22
"2010","Grevenmacher",124,564622.03,3074
"2010","Grosbous",56,511044.64,2970.34
"2010","Heffingen",71,512817.17,2890.24
"2010","Heiderscheid",29,NA,NA
"2010","Heinerscheid",84,436756.27,2646.91
"2010","Hesperange",311,688678.41,3776.49
"2010","Hobscheid",305,510125.48,3051.88
"2010","Hoscheid",26,NA,NA
"2010","Hosingen",129,431977.29,2589.35
"2010","Junglinster",351,637234.95,3469.25
"2010","Kayl",212,470633.53,2948.56
